09:33; среда; Апрель 23; 2025
Название исследования:Усталость 1
Единицы измерения: 
Выбранная справочная точка : Нет
Узел  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Коэффициент нагрузки
10477  ;-261,969  ;0,213928  ;-0,0580348  ;2,44264e+02
